price,product_name,rating
"42,999","OnePlus 7 Pro (Mirror Grey, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4000mAH Battery)",4.5 out of 5 stars
"13,999","Redmi Note 9 Pro (Interstellar Black, 4GB RAM, 64GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection",4.2 out of 5 stars
"12,490","OPPO A31 (Mystery Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",3.9 out of 5 stars
"6,799","Panasonic Eluga I6 (2GB RAM, 16GB Storage) (Black)",3.3 out of 5 stars
"12,490","OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",3.9 out of 5 stars
"16,499","Samsung Galaxy A21s (Black, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",2.6 out of 5 stars
"11,999","Redmi Note 8 (Moonlight White, 4GB RAM, 64GB Storage)",4.3 out of 5 stars
"8,990","Vivo Y91i (Fusion Black, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"13,990","OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"18,499","Samsung Galaxy A21s (Black, 6GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",2.6 out of 5 stars
"24,999","Redmi K20 Pro (Glacier Blue, 6GB RAM, 128GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI",4.3 out of 5 stars
"16,999","Redmi Note 9 Pro (Aurora Blue, 6GB RAM, 128GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection",4.1 out of 5 stars
"12,999","Samsung Galaxy M11 (Metallic Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers",3.4 out of 5 stars
249,SBA999 F2A003 F2 | Mobile Phone / 3D Screen Magnifier / 3D Video Screen Amplifier/Eyes-Protection Enlarged Expander Support for All Smartphones (Assorted Colour),2.6 out of 5 stars
"12,990","Vivo U20 (Blazing Blue, Snapdragon 675 AIE, 4GB RAM, 64GB Storage)",4.4 out of 5 stars
"17,499","Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)",4.3 out of 5 stars
,Nokia 2.2 2/16 Black,3.5 out of 5 stars
"41,999",OnePlus 8 5G (Glacial Green 6GB RAM+128GB Storage),4.5 out of 5 stars
"6,299","Samsung Galaxy J2 Core (Black, 1GB RAM, 16GB Storage) with No Cost EMI/Additional Exchange Offers",3.7 out of 5 stars
"12,990","Vivo Y15 (Burgundy Red, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange",4.2 out of 5 stars
"16,999","Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)",4.1 out of 5 stars
"14,990","Vivo Y19 (Spring White, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",4.1 out of 5 stars
"1,131,329,.",Samsung Galaxy S8 For Dummies (For Dummies (Computer/Tech)),3.9 out of 5 stars
"12,990","Vivo U20 (Racing Black, Snapdragon 675 AIE, 4GB RAM, 64GB Storage)",4.4 out of 5 stars
,"Motorola One Macro (Space Blue, 64 GB) (4 GB RAM)",3.6 out of 5 stars
"13,999","Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)",4.2 out of 5 stars
,Playtime with Mila and Morphle,
"16,999","Redmi Note 9 Pro Max (Glacier White, 6GB RAM, 64GB Storage)",4.2 out of 5 stars
"47,999","OnePlus 7T Pro (Haze Blue, 8GB RAM, Fluid AMOLED Display, 256GB Storage, 4085mAH Battery)",4.5 out of 5 stars
"16,999","Redmi Note 9 Pro (Interstellar Black, 6GB RAM, 128GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection",4.1 out of 5 stars
"8,299","Redmi 8A Dual (Sea Blue, 3GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery",4.1 out of 5 stars
,"Nokia 5.1 Plus (Black, 32 GB) (3 GB RAM)",3.9 out of 5 stars
"18,480","Nokia 7.2 (Charcoal, 64 GB) (6 GB RAM)",3.8 out of 5 stars
"24,999","Redmi K20 Pro (Glacier Blue, 6GB RAM, 128GB Storage) - Extra 2,000 Off on Exchange &12 Month No Cost EMI",4.3 out of 5 stars
"16,999","realme XT (Pearl Blue, 4GB RAM, 64GB Storage)",4.2 out of 5 stars
"18,499","Redmi Note 9 Pro Max (Glacier White, 6GB RAM, 128GB Storage)",4.3 out of 5 stars
"22,647","Vivo V15 Pro (Topaz Blue, 6GB RAM, 128GB Storage)",4.3 out of 5 stars
699,Prakal Antique Telephone Corded Elegant Phone Retro Style Trimline Telephones Landline with Metal Buttons Blue Incoming-Call Flashlight for Home Hotel(Brown),4.1 out of 5 stars
,"IKall K5 Android Mobile (5.5 Inch, 16GB, 4G Volte)",2.0 out of 5 stars
