Battery_Power_Rating,OS,Product_Dimensions,RAM,camera,price,product_name,values
4030,Android,15.3 x 0.8 x 7.2 cm,6 GB,8MP,"₹ 16,990.00","Xiaomi Mi A3 (More Than White, 6GB RAM, 128GB Storage)","Android,6 GB,172 g,15.3 x 0.8 x 7.2 cm,1 Lithium ion batteries required. (included),Mi A3,Bluetooth;WiFi Hotspot,Bluetooth v5.0 wireless technology;802.11 a/b/g/n/ac;2.4G/5G Wi-Fi;GPS/AGPS;GLONASS;BeiDou;Type C-USB 2.0;OTG supported;IR Blaster,Dual SIM, Music Player, Video Player, Gyroscope, Infrared, Proximity, Accelerometer, Ambient light sensor, e-Compass,16M colors,720 x 1560 pixels, 19.5:9 ratio (~286 ppi density),6.01 inches, 88.7 cm2,Corning Gorilla Glass 5,8MP,Touchscreen Phone,172 Grams,More Than White,4030,Handset, Power Adapter, USB Cable, Warranty Card, User Guide, SIM Tray Ejection Tool and Back Cover"
"Handset, Type-C Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide",Android,16.2 x 0.9 x 7.6 cm,8 GB,Touchscreen Phone,"₹ 21,990.00","OPPO Reno2 F (Lake Green, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,195 g,16.2 x 0.9 x 7.6 cm,CPH1945,Bluetooth;WiFi Hotspot,GPRS;EDGE;HSPA+;3G;WCDMA;4G;TD-LTE;FDD,Dual SIM, GPS, Music Player, Video Player,AMOLED,16MP,Touchscreen Phone,195 Grams,Lake Green,4000,Handset, Type-C Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
209 Grams,Android,16.6 x 0.9 x 7.7 cm,4 GB,Touchscreen,"₹ 13,999.00","Redmi Note 9 Pro (Glacier White, 4GB RAM, 64GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection","Android,4 GB,209 g,16.6 x 0.9 x 7.7 cm,1 Lithium Polymer batteries required. (included),Redmi Note 9 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi, GPS, GLONASS, BeiDou, NavIC, USB 2.0 OTG, IR blaster,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor,1080 x 2400 pixels, 20:9 ratio (~395 ppi density),Corning Gorilla Glass 5, 450 nits typ. brightness,Touchscreen,2400 x 1080,8MP,Touchscreen Phone,209 Grams,Glacier White,5020,29 Hours,492 Hours,Handset, Power adapter, USB cable, SIM eject tool, Warranty card, User guide, Clear soft case, Screen protector pre-applied on the phone"
209 Grams,Android,16.6 x 0.9 x 7.7 cm,6 GB,Touchscreen,"₹ 16,999.00","Redmi Note 9 Pro (Aurora Blue, 6GB RAM, 128GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection","Android,6 GB,209 g,16.6 x 0.9 x 7.7 cm,1 Lithium Polymer batteries required. (included),Redmi Note 9 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi, GPS, GLONASS, BeiDou, NavIC, USB 2.0 OTG, IR blaster,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor,1080 x 2400 pixels, 20:9 ratio (~395 ppi density),Corning Gorilla Glass 5, 450 nits typ. brightness,Touchscreen,2400 x 1080,8MP,Touchscreen Phone,209 Grams,Aurora Blue,5020,29 Hours,492 Hours,Handset, Power adapter, USB cable, SIM eject tool, Warranty card, User guide, Clear soft case, Screen protector pre-applied on the phone"
Sky White,Android,15.9 x 1.2 x 7.7 cm,4 GB,"Front, Rear","₹ 6,999.00","IKall K10 (6 Inch IPS Display, 4GB, 32GB) (Sky White)","Android,4 GB,231 g,15.9 x 1.2 x 7.7 cm,1 Lithium ion batteries required. (included),K10,Cellular,Bluetooth, WiFi Hotspot,Bluetooth Tethering, Dual SIM, USB, Primary Camera, Radio, GPS, Flashlight, Wifi,LCD,Front, Rear,3.5 mm,Touchscreen Phone,231 Grams,Sky White,3000 milliamp_hours,Handset, Battery, Charging Adapter, USB Cable and User Manual"
"Handset, earphone, Documentation, microUSB to USB Cable(Type -C), USB Power Adapter, SIM Ejector Pin, Protective Case, Protective Film (1 applied)",Android,16.2 x 7.6 x 0.9 cm,8 GB,Touchscreen Phone,"₹ 17,990.00","Vivo Y50 (Pearl White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,195 g,16.2 x 7.6 x 0.9 cm,vivo1935,Bluetooth;WiFi Hotspot,GSM - Bands B2 (3 / 5 / 8); 3G WCDMA - Bands (1 / 5 / 8); 4G LTE (FDD) - Bands (B1/3/5/8), LTE (TDD) - Band(B38/40/41),Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor, e-Compass, Fingerprint, Entity Gyroscope,2340 × 1080,16MP,Touchscreen Phone,195 Grams,Pearl White,5000,Handset, earphone, Documentation, microUSB to USB Cable(Type -C), USB Power Adapter, SIM Ejector Pin, Protective Case, Protective Film (1 applied)"
4300,Android,16 x 0.8 x 7.3 cm,6 GB,16MP,"₹ 41,999.00",OnePlus 8 5G (Glacial Green 6GB RAM+128GB Storage),"Android,6 GB,181 g,16 x 0.8 x 7.3 cm,1 Lithium ion batteries required. (included),OES_IN2011_GLLGRN,Bluetooth, WiFi Hotspot,5G, NR, N2(5/66/71/41), LTE-FDD, LTE-TDD, (B34/38/39/40/41/46/48), MIMO, LTE, (B2/4/7/25/66/41/48), NR N2,41,66, WCDMA, (B1/2/4/5/8/9/19), CDMA, (BC0/BC1/BC10)GSM, (B2/3/5/8), 2×2 MIMO, Support 2.4G/5G, Support WiFi 802.11 a/b/g/n/ac/ax, (B1/2/3/4/5/7/8/12/13/17/18/19/20/25/26/28/29/30/66/71), 4×4 MIMO, Supports up to DL Cat 20/UL Cat 18(2.0 Gbps /200 Mbps), depending on carrier support, Bluetooth 5.1, support aptX & aptX HD & LDAC & AAC,serial_number, Dual SIM, GPS,2400 x 1080,16MP,Touchscreen Phone,181 Grams,Glacial Green,4300,Handset, Warp Charge 30 Power Adapter, Warp Type-C Cable (Support USB 2.0), Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, LOGO Sticker, Case, Screen Protector (pre-applied), SIM Tray Ejector"
209 Grams,Android,16.6 x 0.9 x 7.7 cm,6 GB,Touchscreen,"₹ 16,999.00","Redmi Note 9 Pro (Interstellar Black, 6GB RAM, 128GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection","Android,6 GB,209 g,16.6 x 0.9 x 7.7 cm,1 Lithium Polymer batteries required. (included),Redmi Note 9 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi, GPS, GLONASS, BeiDou, NavIC, USB 2.0 OTG, IR blaster,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor,1080 x 2400 pixels, 20:9 ratio (~395 ppi density),Corning Gorilla Glass 5, 450 nits typ. brightness,Touchscreen,2400 x 1080,8MP,Touchscreen Phone,209 Grams,Interstellar Black,5020,29 Hours,492 Hours,Handset, Power adapter, USB cable, SIM eject tool, Warranty card, User guide, Clear soft case, Screen protector pre-applied on the phone"
209 Grams,Android,16.6 x 0.9 x 7.7 cm,6 GB,Touchscreen,"₹ 16,999.00","Redmi Note 9 Pro Max (Aurora Blue, 6GB RAM, 64GB Storage)","Android,6 GB,209 g,16.6 x 0.9 x 7.7 cm,1 Lithium Polymer batteries required. (included),Redmi Note 9 Pro Max,Bluetooth, WiFi Hotspot,Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac, Wi-Fi, GPS, GLONASS, BeiDou, NavIC, USB 2.0 OTG, IR blaster,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor,1080 x 2400 pixels, 20:9 ratio (~395 ppi density),Corning Gorilla Glass 5, 450 nits typ. brightness,Touchscreen,2400 x 1080,8MP,Touchscreen Phone,209 Grams,Aurora Blue,5020,29 Hours,492 Hours,Handset, Power adapter, USB cable, SIM eject tool, Warranty card, User guide, Clear soft case, Screen protector pre-applied on the phone"
209 Grams,Android,16.6 x 0.9 x 7.7 cm,6 GB,Touchscreen,"₹ 16,999.00","Redmi Note 9 Pro (Glacier White, 6GB RAM, 128GB Storage) - Latest Snapdragon 720G & Gorilla Glass 5 Protection","Android,6 GB,209 g,16.6 x 0.9 x 7.7 cm,1 Lithium Polymer batteries required. (included),Redmi Note 9 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi, GPS, GLONASS, BeiDou, NavIC, USB 2.0 OTG, IR blaster,Dual SIM, GPS, Music Player, Video Player, Gyroscope, Infrared, Proximity sensor, Accelerometer, Ambient light sensor,1080 x 2400 pixels, 20:9 ratio (~395 ppi density),Corning Gorilla Glass 5, 450 nits typ. brightness,Touchscreen,2400 x 1080,8MP,Touchscreen Phone,209 Grams,Glacier White,5020,29 Hours,492 Hours,Handset, Power adapter, USB cable, SIM eject tool, Warranty card, User guide, Clear soft case, Screen protector pre-applied on the phone"
"Handset, Earphones, USB Cable, USB Power Adapter, SIM Ejector, Protective Case, Protective Film (applied), Documentation",Android,15.9 x 0.9 x 7.5 cm,8 GB,Touchscreen Phone,"₹ 20,990.00","Vivo S1 Pro (Jazzy Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,186 g,15.9 x 0.9 x 7.5 cm,vivo 1920,Bluetooth;WiFi Hotspot,2G;GSM;(B2/3/5/8);3G;WCDMA;(B1/5/8);4G;TDD_LTE;(B38/40/41);FDD_LTE;(B1/3/5/8),Dual SIM, GPS, Music Player, Video Player, Flash In-Display Fingerprint, Accelerometer, Ambient light sensor, Proximity, E-compass and Virtual Gyroscope sensor,Super AMOLED capacitive touchscreen, 16M colors,6.38 inches, 99.9 cm2 (~83.4% screen-to-body ratio),1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density),8 MP,Touchscreen Phone,186 Grams,Jazzy Blue,4500,Handset, Earphones, USB Cable, USB Power Adapter, SIM Ejector, Protective Case, Protective Film (applied), Documentation"
181 Grams,Android,15.9 x 7.5 x 0.9 cm,4 GB,Touchscreen,"₹ 16,999.00","realme XT (Pearl Blue, 4GB RAM, 64GB Storage)","Android,4 GB,181 g,15.9 x 7.5 x 0.9 cm,1 A batteries required. (included),RMX1921,Bluetooth, WiFi Hotspot,2G, 3G, 4G VoLTE, WCDMA, GSM, GPRS, EDGE, HSPA+, TD-LTE, FDD-LTE, Wi-Fi 802.11 a/b/g/n/ac,Dual SIM, GPS, Music Player, Video Player, GPS/Beidou/Galileo, Light sensor, Proximity sensor, Magnetic induction sensor, Gyro-meter, Acceleration sensor, Pedometer, G-sensor, In-Display Fingerprint,Super Amoled,Touchscreen,1080 x 2340,16MP,Touchscreen Phone,181 Grams,Pearl Blue,4000,Handset, Adapter, USB Type C Cable, Booklet with Warranty Card, Quick Guide, SIM Card Tool, Screen Protect Film, Case"
4500,Android,15.9 x 0.9 x 7.5 cm,8 GB,8 MP,"₹ 20,990.00","Vivo S1 Pro (Dreamy White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,186 g,15.9 x 0.9 x 7.5 cm,1 Lithium ion batteries required. (included),vivo 1920,Bluetooth;WiFi Hotspot,2G;GSM;(B2/3/5/8);3G;WCDMA;(B1/5/8);4G;TDD_LTE;(B38/40/41);FDD_LTE;(B1/3/5/8),Dual SIM, GPS, Music Player, Video Player, Flash In-Display Fingerprint, Accelerometer, Ambient light sensor, Proximity, E-compass and Virtual Gyroscope sensor,Super AMOLED capacitive touchscreen, 16M colors,6.38 inches, 99.9 cm2 (~83.4% screen-to-body ratio),1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density),8 MP,Touchscreen Phone,186 Grams,Dreamy White,4500,Handset, Earphones, USB Cable, USB Power Adapter, SIM Ejector, Protective Case, Protective Film (applied), Documentation"
4000,Android,16 x 0.8 x 7.3 cm,8 GB,8 MP,"₹ 18,990.00","Oppo F15 (Unicorn White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,172 g,16 x 0.8 x 7.3 cm,1 Lithium ion batteries required. (included),CPH2001,Bluetooth;WiFi Hotspot,3G;WCDMA;4G;TD-LTE;LTE FDD;Vo-LTE;GPRS;EDGE;HSPA+,Dual SIM, GPS, Music Player, Video Player,Corning Gorilla Glass 5,430 nits typ. Brightness,1080 x 2400 pixels, 20:9 ratio (~408 ppi density),8 MP,Touchscreen Phone,172 Grams,Unicorn White,4000,Handset, Type-C Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
5000,Android,16.2 x 0.9 x 7.6 cm,4 GB,16MP,"₹ 14,990.00","OPPO A52 (Twilight Black, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,4 GB,191 g,16.2 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),CPH2061,Bluetooth, WiFi Hotspot,GPRS, EDGE, HSPA+, WCDMA, TD-LTE, LTE FDD,Dual SIM, GPS, Music Player, Video Player,2400 x 1080,16MP,Touchscreen Phone,191 Grams,Twilight Black,5000,34 Hours,500 Hours,Handset, Type-C Cable, Earphone, Adapter, Sim Tray Ejecter, Protective Case, Booklet with Warranty Card and Quick Guide."
3000 milliamp_hours,Android,16.7 x 8.9 x 0.2 cm,3 GB,Front,"₹ 9,280.00","Panasonic Eluga I8 (3GB RAM, 32GB Storage) (Charcoal Black)","Android,3 GB,159 g,16.7 x 8.9 x 0.2 cm,1 Lithium ion batteries required. (included),ELUGA I8,WiFi,Dual SIM, Primary Camera,LCD,1520 x 720,Front,Smartphone,159 Grams,Charcoal Black,3000 milliamp_hours,Main Device (All-Inclusive Battery), Charger, Cable, Protective Screen Guard, Protective Case, SIM tooling pin, earphone, Quick Start Guide, Warranty card"
"Handset,USB Cable,Adapter,Sim Tray Ejector, Protective Case, Booklet with Warranty Card and Quick Guide.",Android,15.6 x 0.8 x 7.6 cm,2 GB,Touchscreen Phone,"₹ 8,990.00","OPPO A11K (Deep Blue, 2GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","Android,2 GB,163 g,15.6 x 0.8 x 7.6 cm,CPH2083,Bluetooth;WiFi Hotspot,GPRS;EDGE;HSPA+;WCDMA;TD-LTE;LTE FDD,Dual SIM, GPS, Music Player, Video Player, FM Radio,1280 x 720,5MP,Touchscreen Phone,163 Grams,Deep Blue,4230,Handset,USB Cable,Adapter,Sim Tray Ejector, Protective Case, Booklet with Warranty Card and Quick Guide."
Blue,Android 9,15.6 x 0.8 x 7.6 cm,3 GB,1520*720,"₹ 9,990.00","OPPO A12 (Blue, 3GB RAM, 32GB Storage) with No Cost EMI/Additional Exchange Offers","Android 9,3 GB,163 g,15.6 x 0.8 x 7.6 cm,1 Lithium Polymer batteries required. (included),CPH2083,Bluetooth, WiFi Hotspot,GPRS, EDGE, HSPA+, WCDMA, 4G, TD-LTE, LTE FDD,Dual SIM, GPS, Music Player, Video Player,IPS LCD capacitive touchscreen, 16M colors,~276 ppi density,1520*720,2MP,Touchscreen Phone,163 Grams,Blue,4230,35 Hours,450 Hours,Handset, USB Cable, Adapter, Sim Tray Ejector, Protective Case, Booklet with Warranty Card and Quick Guide"
2500 milliamp_hours,Android,15 x 0.9 x 7.2 cm,2 GB,"Front, Rear","₹ 4,699.00","IKall K5 Android Mobile (5.5 Inch, 16GB, 4G Volte)","Android,2 GB,259 g,15 x 0.9 x 7.2 cm,1 Lithium ion batteries required. (included),K5,Cellular,WiFi,Bluetooth Tethering, Dual SIM, USB, Primary Camera, Radio, GPS, Flashlight, Wifi,LCD,Front, Rear,Smartphone,259 Grams,Blue,2500 milliamp_hours,Mobile, Battery, Traveling Adapter, USB Cable, User Manual"
3700,Android 9.0,16.8 x 0.8 x 7.5 cm,8 GB,5MP,"₹ 34,999.00","OnePlus 7 (Red, 8GB RAM, Optic AMOLED Display, 256GB Storage, 3700mAH Battery)","Android 9.0,8 GB,181 g,16.8 x 0.8 x 7.5 cm,1 Lithium ion batteries required. (included),GM1901,Bluetooth;WiFi Hotspot,4G;FDD;LTE;(1/2/3/4/5/7/8/12/13/17/18/19/20/26/28/29/32);TDD;(34/38/39/40/41);TD-SCDMA;(34/39);UMTS(WCDMA);(1/2/4/5/8/9/19);CDMA;(BC0/BC1);GSM;(850/900/1800/1900 MHz),Dual Sim, Front Camera, Touchscreen, USB, In-display Fingerprint, Face unlock,Aspect Ratio  19.5:9, Pixel Density and Bezel-less display  with waterdrop notch
402 ppi,5MP,Touchscreen Phone,181 Grams,Red,3700,Handset, Power Adapter, Type-C Cable (Support USB 2.0), Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, Logo Sticker, Case, Screen Protector (pre-applied) and SIM Tray Ejector"
"Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual",Android,15.9 x 0.9 x 7.5 cm,6 GB,Touchscreen Phone,"₹ 16,499.00","Samsung Galaxy M31 (Space Black, 6GB RAM, 64GB Storage)","Android,6 GB,191 g,15.9 x 0.9 x 7.5 cm,SM-M315FZKDINS,Bluetooth;WiFi Hotspot,2G GSM,3G WCDMA,4G LTE FDD,4G LTE TDD,Dual SIM;GPS;Music Player;Video Player;FM Radio;Accelerometer;Fingerprint Sensor;Gyro Sensor;Geomagnetic Sensor;Proximity Sensor;E-mail,Super AMOLED capacitive touchscreen, 16M colors,1080 x 2400 pixels, 20:9 ratio (~411 ppi density),8MP,Touchscreen Phone,191 Grams,Black,6000,Handset, (Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual"
"Handset, earphone, Documentation, microUSB to USB Cable(Type -C), USB Power Adapter, SIM Ejector Pin, Protective Case, Protective Film (1 applied)",Android,16.2 x 7.6 x 0.9 cm,8 GB,Touchscreen Phone,"₹ 17,990.00","Vivo Y50 (Iris Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,195 g,16.2 x 7.6 x 0.9 cm,vivo1935,Bluetooth;WiFi Hotspot,GSM - Bands B2 (3 / 5 / 8); 3G WCDMA - Bands (1 / 5 / 8); 4G LTE (FDD) - Bands (B1/3/5/8), LTE (TDD) - Band(B38/40/41),Dual SIM, GPS, Music Player, Video Player, FM Radio, Accelerometer, Ambient light sensor, Proximity sensor, e-Compass, Fingerprint, Entity Gyroscope,2340 × 1080,16MP,Touchscreen Phone,195 Grams,Iris Blue,5000,Handset, earphone, Documentation, microUSB to USB Cable(Type -C), USB Power Adapter, SIM Ejector Pin, Protective Case, Protective Film (1 applied)"
"Handset, Earphones, USB Cable, USB Power Adapter, SIM Ejector, Protective Case, Protective Film (applied), Documentation",Android,15.9 x 0.9 x 7.5 cm,8 GB,Touchscreen Phone,"₹ 20,990.00","Vivo S1 Pro (Mystic Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,186 g,15.9 x 0.9 x 7.5 cm,vivo 1920,Bluetooth;WiFi Hotspot,2G;GSM;(B2/3/5/8);3G;WCDMA;(B1/5/8);4G;TDD_LTE;(B38/40/41);FDD_LTE;(B1/3/5/8),Dual SIM, GPS, Music Player, Video Player, Flash In-Display Fingerprint, Accelerometer, Ambient light sensor, Proximity, E-compass and Virtual Gyroscope sensor,Super AMOLED capacitive touchscreen, 16M colors,6.38 inches, 99.9 cm2 (~83.4% screen-to-body ratio),1080 x 2340 pixels, 19.5:9 ratio (~404 ppi density),8 MP,Touchscreen Phone,186 Grams,Mystic Black,4500,Handset, Earphones, USB Cable, USB Power Adapter, SIM Ejector, Protective Case, Protective Film (applied), Documentation"
4230,Android,16.4 x 0.8 x 7.6 cm,6 GB,2MP,"₹ 14,990.00","Oppo A31 (Fantasy White, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,6 GB,181 g,16.4 x 0.8 x 7.6 cm,1 Lithium Polymer batteries required. (included),CPH2015,Bluetooth, WiFi Hotspot,GPRS, EDGE, HSPA+, WCDMA, TD-LTE, LTE FDD,Dual SIM, GPS, Music Player, Video Player, Fingerprint, Magnetic induction, Light sensor, Proximity Sensor, G-sensor, Acceleration sensor, Other sensors,IPS LCD capacitive touchscreen, 16M colors,720 x 1600 pixels, 20:9 ratio (~270 ppi density),2MP,Touchscreen Phone,181 Grams,Fantasy White,4230,45 Hours,450 Hours,Handset, USB Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
"Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card and User Guide",Android,15.6 x 0.9 x 7.5 cm,2 GB,Touchscreen Phone,"₹ 7,499.00","Redmi 8A Dual (Sea Blue, 2GB RAM, 32GB Storage) – Dual Cameras & 5,000 mAH Battery","Android,2 GB,191 g,15.6 x 0.9 x 7.5 cm,1 Lithium Polymer batteries required. (included),Redmi 8A Dual,Bluetooth, WiFi Hotspot,GPS, GLONASS, BeiDou, USB 2.0 OTG, Wireless, FM, Bluetooth v4.2 wireless technology, 802.11 b/g/n Wi-Fi,Dual SIM, Music Player, Video Player, Vibration motor, Proximity sensor, Ambient light sensor, Accelerometer, Electronic Compass,8MP,Touchscreen Phone,191 Grams,Sea Blue,5000,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card and User Guide"
Spark Orange,Android,16.5 x 0.9 x 7.6 cm,2 GB,Touchscreen,"₹ 7,999.00","TECNO Spark 5 (Spark Orange, 2GB RAM, 32GB Storage)","Android,2 GB,191 g,16.5 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),KD7H,Bluetooth, WiFi Hotspot,3G, 4G, EDGE, GPRS,Dual SIM, GPS, Music Player, Video Player, Distance, Ambient light, Accelerometer, Fingerprint, E-mail,LCD,Touchscreen,8MP,Touchscreen Phone,191 Grams,Spark Orange,5000,35 Hours,527 Hours,Handset, Power Adapter, Data Cable, Screen Protective Cover, Back TPU Cover, SIM EJECT Tool, User Manual and Warranty Card"
4300,Android,16 x 0.8 x 7.3 cm,8 GB,16MP,"₹ 44,999.00",OnePlus 8 5G (Glacial Green 8GB RAM+128GB Storage),"Android,8 GB,181 g,16 x 0.8 x 7.3 cm,1 Lithium ion batteries required. (included),IN2011,Bluetooth, WiFi Hotspot,5G NR, (N2/5/66/71/41), LTE-FDD, LTE-TDD, (B34/38/39/40/41/46/48), MIMO, LTE, (B2/4/7/25/66/41/480, NR, N2(41/660), WCDMA, (B1/2/4/5/8/9/19), CDMA, (BC0/BC1/BC10), GSM, (B2/3/5/8), 4×4 MIMO, depending on carrier support, (B1/2/3/4/5/7/8/12/13/17/18/19/20/25/26/28/29/30/66/71), Supports up to DL Cat 20/UL Cat 18(2.0 Gbps /200 Mbps), 2×2 MIMO, Support 2.4G/5G, Support WiFi 802.11 a/b/g/n/ac/ax, Bluetooth 5.1, support aptX & aptX HD & LDAC & AAC,serial_number, Dual SIM, GPS, In-display fingerprint sensor, Accelerometer, Electronic compass, Gyroscope, Ambient light sensor, Proximity sensor, Sensor core, E-mail,2400 x 1080,16MP,Touchscreen Phone,181 Grams,Glacial Green,4300,Handset, Warp Charge 30 Power Adapter , Warp Type-C Cable (Support USB 2.0), Quick Start Guide, Welcome Letter, Safety Information and Warranty Card, LOGO Sticker, Case, Screen Protector (pre-applied), SIM Tray Ejector"
4200,Android,16.5 x 0.8 x 7.5 cm,12 GB,32MP,"₹ 64,990.00","OPPO Find X2 (Ocean, 12GB RAM, 256GB Storage) with No Cost EMI/Additional Bank Offers","Android,12 GB,186 g,16.5 x 0.8 x 7.5 cm,1 Lithium Polymer batteries required. (included),CPH2023,Bluetooth;WiFi Hotspot,GPRS;EDGE;HSPA+;3G;WCDMA;4G;TD-LTE;LTE FDD,Dual SIM, GPS, Music Player, Video Player,OLED,32MP,Touchscreen Phone,186 Grams,Ocean,4200,37.8 Hours,378 Hours,Handset, Type-C Cable, Earphone, Adapter, Sim Tray Ejector, Protective Case, Booklet with Warranty Card and Quick Guide"
3000 milliamp_hours,Android,16 x 0.9 x 7.2 cm,4 GB,"Front, Rear","₹ 7,899.00","IKall K4+ (6 Inch, 4GB, 64GB) (Aqua)","Android,4 GB,240 g,16 x 0.9 x 7.2 cm,1 Lithium ion batteries required. (included),K4+,Cellular,WiFi,Bluetooth Tethering, Dual SIM, USB, Primary Camera, Radio, GPS, Flashlight, Wifi,LCD,Front, Rear,Smartphone,240 Grams,Aqua,3000 milliamp_hours,Mobile, Battery, Charging Adapter, USB Cable, User manual"
4000,Android,15.7 x 0.9 x 7.4 cm,6 GB,13 MP,"₹ 24,999.00","Redmi K20 Pro (Pearl White, 6GB RAM, 128GB Storage) -12 Month No Cost EMI","Android,6 GB,191 g,15.7 x 0.9 x 7.4 cm,1 Lithium Polymer batteries required. (included),Redmi K20 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0, 802.11 a/b/g/n/ac (2x2 MiMo) wifi version, GPS/AGPS, GLONASS, Micro USB 2.0 OTG, Network: 2G, 3G,4G VOLTE,Dual SIM, GPS, Music Player, Video Player, FM Radio, Gyroscope, Infrared, Proximity, Accelerometer, Ambient light sensor, E compass, In-display Fingerprint Sensor, E-mail,Yes Capacitive Touchscreen, Multi-touch,Corning Gorilla Glass v5,Pixel Density 403 ppi,Aspect Ratio 19.5:9,13 MP,Touchscreen Phone,191 Grams,Pearl White,4000,Handset, Adapter, USB cable, warranty card, user guide, SIM insertion tool, Back cover"
"Handset, Type-C Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide",Android,16.2 x 0.9 x 7.6 cm,8 GB,Touchscreen Phone,"₹ 21,990.00","OPPO Reno2 F (Sky White, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,195 g,16.2 x 0.9 x 7.6 cm,CPH1945,Bluetooth;WiFi Hotspot,GPRS;EDGE;HSPA+;3G;WCDMA;4G;TD-LTE;FDD,Dual SIM, GPS, Music Player, Video Player,AMOLED,16MP,Touchscreen Phone,195 Grams,Sky White,4000,Handset, Type-C Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
4000,Android Pie v9.0,15.6 x 0.9 x 7.6 cm,3 GB,5MP,"₹ 9,999.00","LG W10 (Smoky Gray, 3GB RAM, 32GB Storage)","Android Pie v9.0,3 GB,163 g,15.6 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),LMX130IM,Bluetooth, WiFi Hotspot,GPRS, EDGE, Wi-Fi, Wi-Fi Direct, GPS, Modem function, USB Connectivity, Browser, Bluetooth Tethering, Bluetooth, USB  2.0, USB OTG,Dual SIM, GPS, Music Player, Video Player, Fingerprint (rear-mounted), Accelerometer, Gyro, Proximity, Compass, Barometer, Color spectrum,IPS LCD display and pixel density of 269 PPI,5MP,Touchscreen Phone,163 Grams,Smoky Gray,4000,Handset, Charger, Quick Start Guide, USB Data Cable and SIM Ejector Pin"
