Battery_Power_Rating,OS,Product_Dimensions,RAM,camera,price,product_name,values
31 Hours,Android 9.0,15.9 x 0.9 x 7.7 cm,4 GB,Touchscreen Phone,"₹ 12,990.00","Vivo Y15 (Aqua Blue, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange","Android 9.0,4 GB,191 g,15.9 x 0.9 x 7.7 cm,1 Lithium Polymer batteries required. (included),vivo 1901,Bluetooth, WiFi Hotspot,2G, GSM, (B2/3/5/8), 3G, WCDMA, (B1/5/8), 4, FDD LTE, (B1/3/5/8), TDD LTE, (B38/40/41),Dual SIM, GPS, Music Player, Video Player, Accelerometer, Ambient Light sensor, Proximity sensor, E-compass, Virtual Gyroscope, Fingerprint, E-mail,16MP,Touchscreen Phone,191 Grams,Aqua Blue,5000,31 Hours,Handset, User Manual, MicroUSB to USB Cable, USB Power Adapter, SIM Ejector Pin, Protective Case, Protective Film"
4500,Android,16.2 x 0.9 x 7.6 cm,6 GB,8MP,"₹ 15,999.00","Redmi Note 8 Pro (Shadow Black, 6GB RAM, 64GB Storage with Helio G90T Processor)","Android,6 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),Redmi Note 8 Pro,Bluetooth;WiFi Hotspot,WiFi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi,Dual SIM;GPS;Music Player;Video Player;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensoreCompass;,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Shadow Black,4500,41 Hours,666 Hours,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
4000,Android,15.7 x 0.9 x 7.4 cm,6 GB,13 MP,"₹ 24,999.00","Redmi K20 Pro (Glacier Blue, 6GB RAM, 128GB Storage) -12 Month No Cost EMI","Android,6 GB,191 g,15.7 x 0.9 x 7.4 cm,1 Lithium Polymer batteries required. (included),Redmi K20 Pro,Bluetooth, WiFi Hotspot,Bluetooth v5.0, 802.11 a/b/g/n/ac (2x2 MiMo) wifi version, GPS/AGPS, GLONASS, Micro USB 2.0 OTG, Network: 2G, 3G,4G VOLTE,Dual SIM, GPS, Music Player, Video Player, FM Radio, Gyroscope, Infrared, Proximity, Accelerometer, Ambient light sensor, E compass, In-display Fingerprint Sensor, E-mail,Yes Capacitive Touchscreen, Multi-touch,Corning Gorilla Glass v5,Pixel Density 403 ppi,Aspect Ratio 19.5:9,13 MP,Touchscreen Phone,191 Grams,Glacier Blue,4000,Handset, Adapter, USB cable, warranty card, user guide, SIM insertion tool, Back cover"
154 Grams,Android,15 x 0.9 x 7.2 cm,2 GB,Touchscreen,"₹ 5,150.00","itel A46 (Neon Water, 2GB RAM, 16GB Storage)","Android,2 GB,154 g,15 x 0.9 x 7.2 cm,1 Lithium Polymer batteries required. (included),A46 2GB,Bluetooth, WiFi Hotspot,GSM, (1900/1800/850/900 MHz), HSPA+, 3G, (2100/1900/850/900 MHz), 4G, LTE, (2100/1800/2600/900/800 MHz), GPRS, EDGE, WiFi 802.11 b/g/n 2.4 GHz,Dual SIM, GPS, Music Player, Video Player, Accelerometer, Proximity sensor, Ambient light sensor,LCD,Touchscreen,1440 x 720,5MP,Touchscreen Phone,154 Grams,Neon Water,2400,Handset, Battery, Charger, Handsfree, User Manual and Warranty Card"
4230,Android,16.4 x 0.8 x 7.6 cm,4 GB,2MP,"₹ 12,490.00","OPPO A31 (Fantasy White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","Android,4 GB,181 g,16.4 x 0.8 x 7.6 cm,1 Lithium Polymer batteries required. (included),CPH2015,Bluetooth, WiFi Hotspot,GPRS, EDGE, HSPA+, WCDMA, TD-LTE, LTE FDD,Dual SIM, GPS, Music Player, Video Player, Fingerprint, Magnetic induction, Light sensor, Proximity Sensor, G-sensor, Acceleration sensor, Other sensors, Pedometer, OTG,IPS LCD capacitive touchscreen, 16M colors,720 x 1600 pixels, 20:9 ratio (~270 ppi density),2MP,Touchscreen Phone,181 Grams,Fantasy White,4230,45 Hours,450 Hours,Handset, USB Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
5000,Android,16.2 x 0.9 x 7.6 cm,4 GB,8MP,"₹ 14,990.00","Vivo Y19 (Spring White, 4GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,4 GB,195 g,16.2 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),vivo 1915,Bluetooth, WiFi Hotspot,2G, GSM, (B2/3/5/8), 3G, WCDMA, (B1/5/8), 4G, TDD_LTE, (B38/40/41), FDD_LTE, (B1/3/5/8),Dual SIM, GPS, Music Player, Video Player, Accelerometer, Ambient light sensor, Proximity sensor, e-Compass, Virtual gyroscope, Fingerprint,IPS LCD capacitive touchscreen, 16M colors, 19.5:9 ratio (~395 ppi density),8MP,Touchscreen Phone,195 Grams,Spring White,5000,34 Hours,Handset, USB Cable, USB Power Adapter, SIM Ejector, Protective Case and Protective Film (applied)"
4500,Android,16.2 x 0.9 x 7.6 cm,8 GB,8MP,"₹ 18,999.00","Redmi Note 8 Pro (Halo White, 8GB RAM, 128GB Storage with Helio G90T Processor)","Android,8 GB,200 g,16.2 x 0.9 x 7.6 cm,1 Lithium ion batteries required. (included),Redmi Note 8 Pro,Bluetooth;WiFi Hotspot,WiFi, GPS, GLONASS, BeiDou, USB 2.0 OTG, IR blaster, Bluetooth v5.0 wireless technology, 802.11 a/b/g/n/ac wifi,Dual SIM;GPS;Music Player;Video Player;Gyroscope;Infrared;Proximity sensor;Accelerometer;Ambient light sensoreCompass;,IPS LCD capacitive touchscreen, 16M colors,1080 x 2340 pixels, 19.5:9 ratio (~409 ppi density), Corning Gorilla Glass 5,8MP,Touchscreen Phone,200 Grams,Halo White,4500,41 Hours,666 Hours,Handset, Power Adapter, USB Cable, SIM Eject Tool, Warranty Card, User Guide and Clear Soft Case"
5000,Android,16.4 x 0.9 x 7.6 cm,4 GB,8MP,"₹ 13,990.00","OPPO A5 2020 (Dazzling White, 4GB RAM, 64GB Storage) with No Cost EMI/Additional Exchange Offers","Android,4 GB,195 g,16.4 x 0.9 x 7.6 cm,1 Lithium Polymer batteries required. (included),CPH1933,Bluetooth, WiFi Hotspot,802.11a/b/g/n/ac, WLAN 2.4G, WLAN 5.1G, WLAN 5.8G, WLAN Display,Dual SIM, GPS, Music Player, Video Player, Built-in GPS, Supports A-GPS, Beidou, Glonass, GALILEO,Capacitive Touchscreen, Multi-touch,Screen Protection:Corning Gorilla Glass v3,Pixel Density  270 ppi,8MP,Touchscreen Phone,195 Grams,Dazzling White,5000,Handset, Type-C Cable, Sim Tray Ejecter, Pre-applied Screen Protector and Protective Case, Booklet with Warranty Card and Quick Guide"
"Handset(Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual",Android,15.9 x 0.9 x 7.5 cm,4 GB,Touchscreen Phone,"₹ 13,999.00","Samsung Galaxy M21 (Raven Black, 4GB RAM, 64GB Storage)","Android,4 GB,186 g,15.9 x 0.9 x 7.5 cm,SM-M215FZKDINS,Bluetooth;WiFi Hotspot,2G GSM;3G WCDMA;4G LTE FDD;4G LTE TDD,Dual SIM;GPS;Music Player;Video Player;FM Radio;Accelerometer;Proximity Sensor;Virtual Light Sensing;E-mail,1080 x 2340 pixels, 19.5:9 ratio (~403 ppi density) 420 nits max brightness,Corning Gorilla Glass 3,8MP,Touchscreen Phone,186 Grams,Black,6000,Handset(Non-removable Battery Included), Travel Adapter, USB Cable, Ejection Pin, User Manual"
4000,Android,16 x 0.8 x 7.3 cm,8 GB,16MP,"₹ 18,990.00","OPPO F15 (Blazing Blue, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","Android,8 GB,172 g,16 x 0.8 x 7.3 cm,CPH2001,Bluetooth;WiFi Hotspot,GPRS;EDGE;HSPA+;WCDMA;4G;TD-LTE;LTE FDD,Dual SIM, GPS, Music Player, Video Player, FM Radio,AMOLED,2400 x 1080,16MP,Touchscreen Phone,172 Grams,Blazing Blue,4000,Handset, USB Cable, Adapter, Sim Tray Ejector, Protective Case, Booklet with Warranty Card and Quick Guide"
