,Product_Dimensions,RAM,camera,finalbattery,Storage,price
171,15 ,8 ,12,3400,128, 49999.00
172,Prim,8 ,0,8198,[], 899.00
173,Noki,24,0,0,[], 6689.00
174,1 Li,81,0,0,[], 299.00
175,15.4,4 ,0,0,[], 16999.00
177,Blue,5 ,0,0,[], 327.00
181,8 x ,RN,0,8932,[], 799.00
182,15.8,4 ,20,4000, 64, 14999.00
183,16.3,6 ,32,4000,128, 15888.00
186,1 Li,20,0,4000,[], 31999.00
188,14.9,4 ,5,3060, 64, 15789.00
189,14.8,3 ,13,4000,[], 10200.00
190,15.9,8 ,13,4025,128, 31990.00
192,16.3,8 ,20,4780,256, 54999.00
193,Blue,13,0,2020,[], 349.00
194,15.8,6 ,8,4000,128, 24980.00
196,299 ,HT,0,0,[], 299.00
198,Rear,6 ,0,6702,[], 1299.00
200,1.2 ,38,0,1200,[], 6900.00
202,299 ,Mi,0,0,[], 299.00
203,GPS,20,0,0,[], 258.00
204,14.9,4 ,2,0, 64, 13500.00
205,Blue,7 ,0,0,[], 195.00
206,18 ,1 ,0,2000,[], 4490.00
208,16.7,12,0,5000,[], 97999.00
209,17.3,3 ,0,3000,[], 8399.00
210,16.8,4 ,0,0,[], 66240.00
212,15.6,6 ,5,4000,128, 18999.00
213,16.2,8 ,64,4500,128, 77999.00
214,15.8,6 ,8,4000,128, 24970.00
215,15.5,4 ,0,4000,[], 14899.00
219,Touc,Bl,0,0,[], 385.00
222,15.8,4 ,0,0,[], 13949.00
223,1 Li,29,0,0,[], 13000.00
224,1.6 ,ZE,0,0,[], 4889.00
225,15.7,6 ,0,3430,128, 17404.00
230,15.2,3 ,8,3000, 32, 12449.00
236,16.4,6 ,0,4500,128, 22499.00
237,Blue,22,0,0,[], 399.00
240,15.9,6 ,20,5000,128, 21999.00
243,14.5,2 ,0,0,[], 8490.00
244,16.4,8 ,32,4500,128, 28000.00
245,15.9,6 ,12,4000,128, 25250.00
247,16 ,4 ,0,3000,[], 7899.00
248,15.9,8 ,32,4000,128, 27999.00
250,Touc,40,0,0,[], 70.00
251,15.9,4 ,0,0,[], 16799.00
252,15.9,6 ,20,0,128, 21999.00
253,16.6,6 ,8,0, 64, 16999.00
254,Blue,14,0,0,[], 299.00
255,16.4,3 ,8,0, 64, 12490.00
256,16.6,6 ,8,5020,128, 18499.00
257,16.6,6 ,8,5020,128, 18499.00
258,1 Li,40,0,2016,[], 299.00
259,Butt,20,0,0,[], 771.00
260,16.2,8 ,8,0,256, 27490.00
261,16 ,4 ,0,3000,[], 7899.00
262,16.2,8 ,16,4000,128, 21990.00
264,15.9,3 ,0,5000, 32, 9990.00
265,16.6,6 ,8,5020, 64, 16999.00
267,15.6,2 ,5,4230, 32, 8990.00
268,16.3,8 ,0,4085,256, 47999.00
269,15.6,2 ,0,3000, 16, 6799.00
270,15.4,4 ,0,4000, 64, 12990.00
